date, value
09/04/2007,2469.18
10/04/2007,2477.61
11/04/2007,2459.31
12/04/2007,2480.32
13/04/2007,2491.94
16/04/2007,2518.33
17/04/2007,2516.95
18/04/2007,2510.5
19/04/2007,2505.35
20/04/2007,2526.39
23/04/2007,2523.67
24/04/2007,2524.54
25/04/2007,2547.89
26/04/2007,2554.46
27/04/2007,2557.21
30/04/2007,2525.09
01/05/2007,2531.53
02/05/2007,2557.84
03/05/2007,2565.46
04/05/2007,2572.15
07/05/2007,2570.95
08/05/2007,2571.75
09/05/2007,2576.34
10/05/2007,2533.74
11/05/2007,2562.22
14/05/2007,2546.44
15/05/2007,2525.29
16/05/2007,2547.42
17/05/2007,2539.38
18/05/2007,2558.45
21/05/2007,2578.79
22/05/2007,2588.02
23/05/2007,2577.05
24/05/2007,2537.92
25/05/2007,2557.19
29/05/2007,2572.06
30/05/2007,2592.59
31/05/2007,2604.52
01/06/2007,2613.92
04/06/2007,2618.29
05/06/2007,2611.23
06/06/2007,2587.18
07/06/2007,2541.38
08/06/2007,2573.54
11/06/2007,2572.15
12/06/2007,2549.77
13/06/2007,2582.31
14/06/2007,2599.41
15/06/2007,2626.71
18/06/2007,2626.6
19/06/2007,2626.76
20/06/2007,2599.96
21/06/2007,2616.96
22/06/2007,2588.96
25/06/2007,2577.08
26/06/2007,2574.16
27/06/2007,2605.35
28/06/2007,2608.37
29/06/2007,2603.23
02/07/2007,2632.3
03/07/2007,2644.95
05/07/2007,2656.65
06/07/2007,2666.51
09/07/2007,2670.02
10/07/2007,2639.16
11/07/2007,2651.79
12/07/2007,2701.73
13/07/2007,2707
16/07/2007,2697.33
17/07/2007,2712.29
18/07/2007,2699.49
19/07/2007,2720.04
20/07/2007,2687.6
23/07/2007,2690.58
24/07/2007,2639.86
25/07/2007,2648.17
26/07/2007,2599.34
27/07/2007,2562.24
30/07/2007,2583.28
31/07/2007,2546.27
01/08/2007,2553.87
02/08/2007,2575.98
03/08/2007,2511.25
06/08/2007,2547.33
07/08/2007,2561.6
08/08/2007,2612.98
09/08/2007,2556.49
10/08/2007,2544.89
13/08/2007,2542.24
14/08/2007,2499.12
15/08/2007,2458.83
16/08/2007,2451.07
17/08/2007,2505.03
20/08/2007,2508.59
21/08/2007,2521.3
22/08/2007,2552.8
23/08/2007,2541.7
24/08/2007,2576.69
27/08/2007,2561.25
28/08/2007,2500.64
29/08/2007,2563.16
30/08/2007,2565.3
31/08/2007,2596.36
04/09/2007,2630.24
05/09/2007,2605.95
06/09/2007,2614.32
07/09/2007,2565.7
10/09/2007,2559.11
11/09/2007,2597.47
12/09/2007,2592.07
13/09/2007,2601.06
14/09/2007,2602.18
17/09/2007,2581.66
18/09/2007,2651.66
19/09/2007,2666.48
20/09/2007,2654.29
21/09/2007,2671.22
24/09/2007,2667.95
25/09/2007,2683.45
26/09/2007,2699.03
27/09/2007,2709.59
28/09/2007,2701.5
01/10/2007,2740.99
02/10/2007,2747.11
03/10/2007,2729.43
04/10/2007,2733.57
05/10/2007,2780.32
08/10/2007,2787.37
09/10/2007,2803.91
10/10/2007,2811.61
11/10/2007,2772.2
12/10/2007,2805.68
15/10/2007,2780.05
16/10/2007,2763.91
17/10/2007,2792.67
18/10/2007,2799.31
19/10/2007,2725.16
22/10/2007,2753.93
23/10/2007,2799.26
24/10/2007,2774.76
25/10/2007,2750.86
26/10/2007,2804.19
29/10/2007,2817.44
30/10/2007,2816.71
31/10/2007,2859.12
01/11/2007,2794.83
02/11/2007,2810.38
05/11/2007,2795.18
06/11/2007,2825.18
07/11/2007,2748.76
08/11/2007,2696
09/11/2007,2627.94
12/11/2007,2584.13
13/11/2007,2673.65
14/11/2007,2644.32
15/11/2007,2618.51
16/11/2007,2637.24
19/11/2007,2593.38
20/11/2007,2596.81
21/11/2007,2562.15
23/11/2007,2596.6
26/11/2007,2540.99
27/11/2007,2580.8
28/11/2007,2662.91
29/11/2007,2668.13
30/11/2007,2660.96
03/12/2007,2637.13
04/12/2007,2619.83
05/12/2007,2666.36
06/12/2007,2709.03
07/12/2007,2706.16
10/12/2007,2718.95
11/12/2007,2652.35
12/12/2007,2671.14
13/12/2007,2668.49
14/12/2007,2635.74
17/12/2007,2574.46
18/12/2007,2596.03
19/12/2007,2601.01
20/12/2007,2640.86
21/12/2007,2691.99
24/12/2007,2713.5
26/12/2007,2724.41
27/12/2007,2676.79
28/12/2007,2674.46
31/12/2007,2652.28
02/01/2008,2609.63
03/01/2008,2602.68
04/01/2008,2504.65
07/01/2008,2499.46
08/01/2008,2440.51
09/01/2008,2474.55
10/01/2008,2488.52
11/01/2008,2439.94
14/01/2008,2478.3
15/01/2008,2417.59
16/01/2008,2394.59
17/01/2008,2346.9
18/01/2008,2340.02
22/01/2008,2292.27
23/01/2008,2316.41
24/01/2008,2360.92
25/01/2008,2326.2
28/01/2008,2349.91
29/01/2008,2358.06
30/01/2008,2349
31/01/2008,2389.86
01/02/2008,2413.36
04/02/2008,2382.85
05/02/2008,2309.57
06/02/2008,2278.75
07/02/2008,2293.03
08/02/2008,2304.85
11/02/2008,2320.06
12/02/2008,2320.04
13/02/2008,2373.93
14/02/2008,2332.54
15/02/2008,2321.8
19/02/2008,2306.2
20/02/2008,2327.1
21/02/2008,2299.78
22/02/2008,2303.35
25/02/2008,2327.48
26/02/2008,2344.99
27/02/2008,2353.78
28/02/2008,2331.57
29/02/2008,2271.48
03/03/2008,2258.6
04/03/2008,2260.28
05/03/2008,2272.81
06/03/2008,2220.5
07/03/2008,2212.49
10/03/2008,2169.34
11/03/2008,2255.76
12/03/2008,2243.87
13/03/2008,2263.61
14/03/2008,2212.49
17/03/2008,2177.01
18/03/2008,2268.26
19/03/2008,2209.96
20/03/2008,2258.11
24/03/2008,2326.75
25/03/2008,2341.05
26/03/2008,2324.36
27/03/2008,2280.83
28/03/2008,2261.18
31/03/2008,2279.1
01/04/2008,2362.75
02/04/2008,2361.4
03/04/2008,2363.3
04/04/2008,2370.98
07/04/2008,2364.83
08/04/2008,2348.76
09/04/2008,2322.12
10/04/2008,2351.7
11/04/2008,2290.24
14/04/2008,2275.82
15/04/2008,2286.04
16/04/2008,2350.11
17/04/2008,2341.83
18/04/2008,2402.97
21/04/2008,2408.04
22/04/2008,2376.94
23/04/2008,2405.21
24/04/2008,2428.92
25/04/2008,2422.93
28/04/2008,2424.4
29/04/2008,2426.1
30/04/2008,2412.8
01/05/2008,2480.71
02/05/2008,2476.99
05/05/2008,2464.12
06/05/2008,2483.31
07/05/2008,2438.49
08/05/2008,2451.24
09/05/2008,2445.52
12/05/2008,2488.49
13/05/2008,2495.12
14/05/2008,2496.7
15/05/2008,2533.73
16/05/2008,2528.85
19/05/2008,2516.09
20/05/2008,2492.26
21/05/2008,2448.27
22/05/2008,2464.58
23/05/2008,2444.67
27/05/2008,2481.24
28/05/2008,2486.7
29/05/2008,2508.32
30/05/2008,2522.66
02/06/2008,2491.53
03/06/2008,2480.48
04/06/2008,2503.14
05/06/2008,2549.94
06/06/2008,2474.56
09/06/2008,2459.46
10/06/2008,2448.94
11/06/2008,2394.01
12/06/2008,2404.35
13/06/2008,2454.5
16/06/2008,2474.78
17/06/2008,2457.73
18/06/2008,2429.71
19/06/2008,2462.06
20/06/2008,2406.09
23/06/2008,2385.74
24/06/2008,2368.28
25/06/2008,2401.26
26/06/2008,2321.37
27/06/2008,2315.63
30/06/2008,2292.98
01/07/2008,2304.97
02/07/2008,2251.46
03/07/2008,2245.38
07/07/2008,2243.32
08/07/2008,2294.44
09/07/2008,2234.89
10/07/2008,2257.85
11/07/2008,2239.08
14/07/2008,2212.87
15/07/2008,2215.71
16/07/2008,2284.85
17/07/2008,2312.3
18/07/2008,2282.78
21/07/2008,2279.53
22/07/2008,2303.96
23/07/2008,2325.88
24/07/2008,2280.11
25/07/2008,2310.53
28/07/2008,2264.22
29/07/2008,2319.62
30/07/2008,2329.72
31/07/2008,2325.55
01/08/2008,2310.96
04/08/2008,2285.56
05/08/2008,2349.83
06/08/2008,2378.37
07/08/2008,2355.73
08/08/2008,2414.1
11/08/2008,2439.95
12/08/2008,2430.61
13/08/2008,2428.62
14/08/2008,2453.67
15/08/2008,2452.52
18/08/2008,2416.98
19/08/2008,2384.36
20/08/2008,2389.08
21/08/2008,2380.38
22/08/2008,2414.71
25/08/2008,2365.59
26/08/2008,2361.97
27/08/2008,2382.46
28/08/2008,2411.64
29/08/2008,2367.52
02/09/2008,2349.24
03/09/2008,2333.73
04/09/2008,2259.04
05/09/2008,2255.88
08/09/2008,2269.76
09/09/2008,2209.81
10/09/2008,2228.7
11/09/2008,2258.22
12/09/2008,2261.27
15/09/2008,2179.91
16/09/2008,2207.9
17/09/2008,2098.85
18/09/2008,2199.1
19/09/2008,2273.9
22/09/2008,2178.98
23/09/2008,2153.33
24/09/2008,2155.68
25/09/2008,2186.57
26/09/2008,2183.34
29/09/2008,1983.73
30/09/2008,2091.88
01/10/2008,2069.4
02/10/2008,1976.72
03/10/2008,1947.39
06/10/2008,1862.96
07/10/2008,1754.88
08/10/2008,1740.33
09/10/2008,1645.12
10/10/2008,1649.51
13/10/2008,1844.25
14/10/2008,1779.01
15/10/2008,1628.33
16/10/2008,1717.71
17/10/2008,1711.29
20/10/2008,1770.03
21/10/2008,1696.68
22/10/2008,1615.75
23/10/2008,1603.91
24/10/2008,1552.03
27/10/2008,1505.9
28/10/2008,1649.47
29/10/2008,1657.21
30/10/2008,1698.52
