date,cac_40_fr_index
2020-04-07,4438.27
2020-04-06,4346.14
2020-04-03,4154.58
2020-04-02,4220.96
2020-04-01,4207.24
2020-03-31,4396.12
2020-03-30,4378.51
2020-03-27,4351.49
2020-03-26,4543.58
2020-03-25,4432.3
2020-03-24,4242.7
2020-03-23,3914.31
2020-03-20,4048.8
2020-03-19,3855.5
2020-03-18,3754.84
2020-03-17,3991.78
2020-03-16,3881.46
2020-03-13,4118.36
2020-03-12,4044.26
2020-03-11,4610.25
2020-03-10,4636.61
2020-03-09,4707.91
2020-03-06,5139.11
2020-03-05,5361.1
2020-03-04,5464.89
2020-03-03,5393.17
2020-03-02,5333.52
2020-02-28,5309.9
2020-02-27,5495.6
2020-02-26,5684.55
2020-02-25,5679.68
2020-02-24,5791.87
2020-02-21,6029.72
2020-02-20,6062.3
2020-02-19,6111.24
2020-02-18,6056.82
2020-02-14,6069.35
2020-02-13,6093.14
2020-02-12,6104.73
2020-02-11,6054.76
2020-02-10,6015.67
2020-02-07,6029.75
2020-02-06,6038.18
2020-02-05,5985.4
2020-02-04,5935.05
2020-02-03,5832.51
2020-01-31,5806.34
2020-01-30,5871.77
2020-01-29,5954.89
2020-01-28,5925.82
2020-01-27,5863.02
2020-01-24,6024.26
2020-01-23,5971.79
2020-01-22,6010.98
2020-01-21,6045.99
2020-01-17,6100.72
2020-01-16,6039.03
2020-01-15,6032.61
2020-01-14,6040.89
2020-01-13,6036.14
2020-01-10,6037.11
2020-01-09,6042.55
2020-01-08,6031.0
2020-01-07,6012.35
2020-01-06,6013.59
2020-01-03,6044.16
2020-01-02,6041.5
2019-12-31,5978.06
2019-12-30,5982.22
2019-12-27,6037.39
2019-12-24,6029.55
2019-12-23,6029.37
2019-12-20,6021.53
2019-12-19,5972.28
2019-12-18,5959.6
2019-12-17,5968.26
2019-12-16,5991.66
2019-12-13,5919.02
2019-12-12,5884.26
2019-12-11,5860.88
2019-12-10,5848.03
2019-12-09,5837.25
2019-12-06,5871.91
2019-12-05,5801.55
2019-12-04,5799.68
2019-12-03,5727.22
2019-12-02,5786.74
2019-11-29,5905.17
2019-11-27,5926.84
2019-11-26,5929.62
2019-11-25,5924.86
2019-11-22,5893.13
2019-11-21,5881.21
2019-11-20,5894.03
2019-11-19,5909.05
2019-11-18,5929.79
2019-11-15,5939.27
2019-11-14,5901.08
2019-11-13,5907.09
2019-11-12,5919.75
2019-11-11,5893.82
2019-11-08,5889.7
2019-11-07,5890.99
