,Date,ibex_35_sp
0,2020-04-07,7002.0
1,2020-04-06,6844.3
2,2020-04-03,6581.6
3,2020-04-02,6574.1
4,2020-04-01,6579.4
5,2020-03-31,6785.4
6,2020-03-30,6659.9
7,2020-03-27,6777.9
8,2020-03-26,7033.2
9,2020-03-25,6942.4
10,2020-03-24,6717.3
11,2020-03-23,6230.2
12,2020-03-20,6443.3
13,2020-03-19,6395.8
14,2020-03-18,6274.8
15,2020-03-17,6498.5
16,2020-03-16,6107.2
17,2020-03-13,6629.6
18,2020-03-12,6390.9
19,2020-03-11,7436.4
20,2020-03-10,7461.5
21,2020-03-09,7708.7
22,2020-03-06,8375.6
23,2020-03-05,8683.0
24,2020-03-04,8910.0
25,2020-03-03,8811.6
26,2020-03-02,8741.5
27,2020-02-28,8723.2
28,2020-02-27,8985.9
29,2020-02-26,9316.8
30,2020-02-25,9250.8
31,2020-02-24,9483.5
32,2020-02-21,9886.2
33,2020-02-20,9931.0
34,2020-02-19,10083.6
35,2020-02-18,10005.8
36,2020-02-17,10022.2
37,2020-02-14,9956.8
38,2020-02-13,9909.8
39,2020-02-12,9940.4
40,2020-02-11,9882.6
41,2020-02-10,9816.0
42,2020-02-07,9811.0
43,2020-02-06,9811.3
44,2020-02-05,9717.8
45,2020-02-04,9562.9
46,2020-02-03,9404.7
47,2020-01-31,9367.9
48,2020-01-30,9477.9
49,2020-01-29,9546.7
50,2020-01-28,9484.2
51,2020-01-27,9366.3
52,2020-01-24,9562.0
53,2020-01-23,9518.5
54,2020-01-22,9573.7
55,2020-01-21,9611.3
56,2020-01-20,9658.8
57,2020-01-17,9681.3
58,2020-01-16,9572.5
59,2020-01-15,9511.7
60,2020-01-14,9528.3
61,2020-01-13,9543.9
62,2020-01-10,9573.6
63,2020-01-09,9581.8
64,2020-01-08,9591.4
65,2020-01-07,9579.8
66,2020-01-06,9600.9
67,2020-01-03,9646.6
68,2020-01-02,9691.2
69,2019-12-31,9549.2
70,2019-12-30,9612.6
71,2019-12-27,9700.5
72,2019-12-24,9661.8
73,2019-12-23,9659.6
74,2019-12-20,9675.5
75,2019-12-19,9617.2
76,2019-12-18,9621.8
77,2019-12-17,9615.9
78,2019-12-16,9680.6
79,2019-12-13,9563.7
80,2019-12-12,9468.5
81,2019-12-11,9392.5
82,2019-12-10,9321.1
83,2019-12-09,9354.6
84,2019-12-06,9382.7
85,2019-12-05,9243.4
86,2019-12-04,9270.8
87,2019-12-03,9135.7
88,2019-12-02,9156.3
89,2019-11-29,9352.0
90,2019-11-28,9359.0
91,2019-11-27,9362.7
92,2019-11-26,9324.8
93,2019-11-25,9319.9
94,2019-11-22,9254.7
95,2019-11-21,9214.0
96,2019-11-20,9225.4
97,2019-11-19,9259.2
98,2019-11-18,9258.0
99,2019-11-15,9261.4
100,2019-11-14,9173.3
101,2019-11-13,9194.5
102,2019-11-12,9306.7
103,2019-11-11,9388.5
104,2019-11-08,9393.7
105,2019-11-07,9447.3
106,2019-11-06,9398.4
107,2019-11-05,9407.9
108,2019-11-04,9416.4
109,2019-11-01,9328.0
110,2019-10-31,9257.5
111,2019-10-30,9284.5
112,2019-10-29,9400.1
113,2019-10-28,9433.0
114,2019-10-25,9430.2
115,2019-10-24,9391.8
116,2019-10-23,9385.0
117,2019-10-22,9380.2
118,2019-10-21,9402.3
119,2019-10-18,9329.8
120,2019-10-17,9340.0
121,2019-10-16,9386.7
122,2019-10-15,9356.1
123,2019-10-14,9246.5
124,2019-10-11,9273.8
125,2019-10-10,9104.4
126,2019-10-09,8991.9
127,2019-10-08,8940.1
128,2019-10-07,9044.1
129,2019-10-04,8961.8
130,2019-10-03,8902.2
131,2019-10-02,8912.2
132,2019-10-01,9165.9
133,2019-09-30,9244.6
134,2019-09-27,9184.1
135,2019-09-26,9129.7
136,2019-09-25,9085.3
137,2019-09-24,9118.2
138,2019-09-23,9093.6
139,2019-09-20,9179.0
140,2019-09-19,9136.0
141,2019-09-18,9031.7
142,2019-09-17,9004.2
143,2019-09-16,9052.0
144,2019-09-13,9137.9
145,2019-09-12,9082.3
146,2019-09-11,9059.5
147,2019-09-10,9078.2
148,2019-09-09,9010.6
149,2019-09-06,8990.1
150,2019-09-05,8992.7
151,2019-09-04,8856.6
152,2019-09-03,8809.2
153,2019-09-02,8815.5
154,2019-08-30,8812.9
155,2019-08-29,8794.3
156,2019-08-28,8747.1
157,2019-08-27,8728.9
158,2019-08-26,8679.2
159,2019-08-23,8649.5
160,2019-08-22,8716.4
161,2019-08-21,8701.5
162,2019-08-20,8618.3
163,2019-08-19,8733.3
164,2019-08-16,8670.4
165,2019-08-15,8519.0
